5701,普通,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,05:20,05:25,05:28,05:31,05:34,05:37
5049,普通,16:47,16:50,16:52,16:55,16:58,17:01,17:03,17:07,17:10,17:13,17:16,17:18,17:21,17:24,17:35,17:41,17:44,17:47,17:50,17:53
5321,普通,16:54,16:57,17:00,17:03,17:06,17:09,17:11,17:18,17:21,17:24,17:26,17:29,17:32,17:34,・・,・・,・・,・・,・・,・・
3043,快速,17:00,17:02,17:05,17:08,17:11,↓,↓,↓,↓,17:21,↓,17:25,↓,↓,17:33,↓,↓,↓,↓,17:45
5323,普通,17:04,17:06,17:09,17:12,17:15,17:18,17:20,17:24,17:27,17:30,17:32,17:35,17:38,17:40,・・,・・,・・,・・,・・,・・
4051,区快,17:10,17:13,17:16,17:19,17:21,↓,↓,17:28,17:31,17:34,↓,17:38,17:41,↓,17:47,17:52,17:55,17:58,18:01,18:04
5325,普通,17:13,17:16,17:18,17:21,17:24,17:27,17:29,17:33,17:36,17:39,17:42,17:44,17:47,17:50,・・,・・,・・,・・,・・,・・
4053,区快,17:20,17:23,17:25,17:28,17:31,↓,↓,17:38,17:41,17:44,↓,17:47,17:51,↓,17:56,18:01,18:04,18:07,18:11,18:13
5051,普通,17:23,17:25,17:28,17:31,17:34,17:37,17:39,17:43,17:46,17:49,17:51,17:54,17:57,17:59,18:08,18:14,18:18,18:21,18:24,18:27
5327,普通,17:27,17:30,17:33,17:36,17:38,17:42,17:44,17:51,17:54,17:57,18:00,18:02,18:05,18:08,・・,・・,・・,・・,・・,・・
2001,通快,17:30,17:33,17:36,17:39,17:42,↓,17:46,17:50,↓,17:55,↓,17:58,18:02,↓,18:07,↓,↓,↓,18:18,18:20
5329,普通,17:35,17:37,17:40,17:43,17:46,17:49,17:51,17:55,17:58,18:01,18:04,18:06,18:09,18:12,・・,・・,・・,・・,・・,・・
4055,区快,17:40,17:43,17:46,17:49,17:52,↓,↓,17:59,18:02,18:05,↓,18:10,18:13,↓,18:19,18:23,18:27,18:30,18:33,18:35
5331,普通,17:43,17:46,17:49,17:52,17:55,17:58,18:00,18:04,18:07,18:10,18:12,18:15,18:18,18:20,・・,・・,・・,・・,・・,・・
4057,区快,17:50,17:53,17:55,17:58,18:01,↓,↓,18:08,18:11,18:14,↓,18:18,18:21,↓,18:27,18:32,18:35,18:38,18:41,18:44
5053,普通,17:52,17:55,17:58,18:01,18:03,18:06,18:08,18:12,18:15,18:18,18:21,18:23,18:27,18:29,18:38,18:44,18:48,18:51,18:54,18:57
